race_eth_name,geotype,geoname,county_name,region_code,cost_yr,median_income,affordability_ratio,ave_fam_size,food_cost_index
AIAN,CA,California,,,7508.2896552,23777.0,0.3157795,3.34,72.04960805296997
Asian,CA,California,,,7508.2896552,38508.0,0.19498,3.34,72.04960805296997
AfricanAm,CA,California,,,7508.2896552,26192.0,0.2866635,3.34,72.04960805296997
Latino,CA,California,,,7508.2896552,22858.0,0.3284754,3.34,72.04960805296997
NHOPI,CA,California,,,7508.2896552,36737.0,0.2043795,3.34,72.04960805296997
White,CA,California,,,7508.2896552,38641.0,0.1943089,3.34,72.04960805296997
Multiple,CA,California,,,7508.2896552,32866.0,0.2284516,3.34,72.04960805296997
Other,CA,California,,,7508.2896552,30439.0,0.2466668,3.34,72.04960805296997
AIAN,CO,Alameda,Alameda,1.0,7242.1230072,16063.0,0.4508574,3.21,69.49547075328664
Asian,CO,Alameda,Alameda,1.0,7242.1230072,42048.0,0.1722347,3.21,69.49547075328664
AfricanAm,CO,Alameda,Alameda,1.0,7242.1230072,23858.0,0.3035511,3.21,69.49547075328664
Latino,CO,Alameda,Alameda,1.0,7242.1230072,28917.0,0.2504452,3.21,69.49547075328664
NHOPI,CO,Alameda,Alameda,1.0,7242.1230072,35238.0,0.2055203,3.21,69.49547075328664
White,CO,Alameda,Alameda,1.0,7242.1230072,50497.0,0.1434169,3.21,69.49547075328664
Multiple,CO,Alameda,Alameda,1.0,7242.1230072,39591.0,0.1829235,3.21,69.49547075328664
Other,CO,Alameda,Alameda,1.0,7242.1230072,21205.0,0.341529,3.21,69.49547075328664
AIAN,CO,Alpine,Alpine,3.0,8821.19136,,,3.81,84.64822339506766
Asian,CO,Alpine,Alpine,3.0,8821.19136,,,3.81,84.64822339506766
AfricanAm,CO,Alpine,Alpine,3.0,8821.19136,,,3.81,84.64822339506766
Latino,CO,Alpine,Alpine,3.0,8821.19136,,,3.81,84.64822339506766
NHOPI,CO,Alpine,Alpine,3.0,8821.19136,,,3.81,84.64822339506766
White,CO,Alpine,Alpine,3.0,8821.19136,,,3.81,84.64822339506766
Multiple,CO,Alpine,Alpine,3.0,8821.19136,,,3.81,84.64822339506766
Other,CO,Alpine,Alpine,3.0,8821.19136,,,3.81,84.64822339506766
AIAN,CO,Amador,Amador,3.0,5812.6720848,,,2.58,55.77844817963727
Asian,CO,Amador,Amador,3.0,5812.6720848,,,2.58,55.77844817963727
AfricanAm,CO,Amador,Amador,3.0,5812.6720848,,,2.58,55.77844817963727
Latino,CO,Amador,Amador,3.0,5812.6720848,33500.0,0.1735126,2.58,55.77844817963727
NHOPI,CO,Amador,Amador,3.0,5812.6720848,,,2.58,55.77844817963727
